domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Cryptography and Security(82.66%) | Systems and Control(75.43%) | Computation and Language(70.5%),stimul fe,individu cord,1,0.0,2012.0,,2ad013c5-dfbd-463c-ad3a-ee7c8c37aee8
Cryptography and Security(82.66%) | Systems and Control(75.43%) | Computation and Language(70.5%),suspens system model,car suspens,1,0.0,2017.0,,6b3e9cc8-9447-4e28-a15a-8af794dbf364
Cryptography and Security(82.66%) | Systems and Control(75.43%) | Computation and Language(70.5%),suspens system model,system identif,1,0.0,2017.0,,6b3e9cc8-9447-4e28-a15a-8af794dbf364
Cryptography and Security(82.66%) | Systems and Control(75.43%) | Computation and Language(70.5%),quarter car,suspens system model,1,0.0,2017.0,,6b3e9cc8-9447-4e28-a15a-8af794dbf364
Cryptography and Security(82.66%) | Systems and Control(75.43%) | Computation and Language(70.5%),quarter car,car suspens,1,0.0,2017.0,,6b3e9cc8-9447-4e28-a15a-8af794dbf364
Cryptography and Security(82.66%) | Systems and Control(75.43%) | Computation and Language(70.5%),quarter car,system identif,1,0.0,2017.0,,6b3e9cc8-9447-4e28-a15a-8af794dbf364
Cryptography and Security(82.66%) | Systems and Control(75.43%) | Computation and Language(70.5%),car suspens,suspens system model,1,0.0,2017.0,,6b3e9cc8-9447-4e28-a15a-8af794dbf364
Cryptography and Security(82.66%) | Systems and Control(75.43%) | Computation and Language(70.5%),car suspens,quarter car,1,0.0,2017.0,,6b3e9cc8-9447-4e28-a15a-8af794dbf364
Cryptography and Security(82.66%) | Systems and Control(75.43%) | Computation and Language(70.5%),car suspens,system identif,1,0.0,2017.0,,6b3e9cc8-9447-4e28-a15a-8af794dbf364
Cryptography and Security(82.66%) | Systems and Control(75.43%) | Computation and Language(70.5%),fe st,fe st movement,1,0.0,2019.0,,f11f93bf-a943-49a4-b007-ad633fcb70ad
Cryptography and Security(82.66%) | Systems and Control(75.43%) | Computation and Language(70.5%),fe st,control method fe,1,0.0,2019.0,,f11f93bf-a943-49a4-b007-ad633fcb70ad
Cryptography and Security(82.66%) | Systems and Control(75.43%) | Computation and Language(70.5%),fe st,fe movement challeng,1,0.0,2019.0,,f11f93bf-a943-49a4-b007-ad633fcb70ad
Cryptography and Security(82.66%) | Systems and Control(75.43%) | Computation and Language(70.5%),control method fe,fe st movement,1,0.0,2019.0,,f11f93bf-a943-49a4-b007-ad633fcb70ad
Cryptography and Security(82.66%) | Systems and Control(75.43%) | Computation and Language(70.5%),control method fe,fe st,1,0.0,2019.0,,f11f93bf-a943-49a4-b007-ad633fcb70ad
Cryptography and Security(82.66%) | Systems and Control(75.43%) | Computation and Language(70.5%),control method fe,fe movement challeng,1,0.0,2019.0,,f11f93bf-a943-49a4-b007-ad633fcb70ad
Cryptography and Security(82.66%) | Systems and Control(75.43%) | Computation and Language(70.5%),fe st movement,fe st,1,0.0,2019.0,,f11f93bf-a943-49a4-b007-ad633fcb70ad
Cryptography and Security(82.66%) | Systems and Control(75.43%) | Computation and Language(70.5%),fe st movement,control method fe,1,0.0,2019.0,,f11f93bf-a943-49a4-b007-ad633fcb70ad
Cryptography and Security(82.66%) | Systems and Control(75.43%) | Computation and Language(70.5%),fe st movement,fe movement challeng,1,0.0,2019.0,,f11f93bf-a943-49a4-b007-ad633fcb70ad
Cryptography and Security(82.66%) | Systems and Control(75.43%) | Computation and Language(70.5%),fe movement challeng,fe st movement,1,0.0,2019.0,,f11f93bf-a943-49a4-b007-ad633fcb70ad
Cryptography and Security(82.66%) | Systems and Control(75.43%) | Computation and Language(70.5%),fe movement challeng,fe st,1,0.0,2019.0,,f11f93bf-a943-49a4-b007-ad633fcb70ad
Cryptography and Security(82.66%) | Systems and Control(75.43%) | Computation and Language(70.5%),fe movement challeng,control method fe,1,0.0,2019.0,,f11f93bf-a943-49a4-b007-ad633fcb70ad
Discrete Mathematics(31.89%) | Computational Geometry(27.44%) | Systems and Control(26.22%),quadricep muscl model,muscl model,1,0.0,2016.0,,764e1b57-f2cf-4de6-bed9-97bfb62c653d
Discrete Mathematics(31.89%) | Computational Geometry(27.44%) | Systems and Control(26.22%),quadricep muscl model,quadricep muscl,1,0.0,2016.0,,764e1b57-f2cf-4de6-bed9-97bfb62c653d
Discrete Mathematics(31.89%) | Computational Geometry(27.44%) | Systems and Control(26.22%),quadricep muscl,quadricep muscl model,1,0.0,2016.0,,764e1b57-f2cf-4de6-bed9-97bfb62c653d
Discrete Mathematics(31.89%) | Computational Geometry(27.44%) | Systems and Control(26.22%),quadricep muscl,muscl model,1,0.0,2016.0,,764e1b57-f2cf-4de6-bed9-97bfb62c653d
Discrete Mathematics(31.89%) | Computational Geometry(27.44%) | Systems and Control(26.22%),muscl model,quadricep muscl model,1,0.0,2016.0,,764e1b57-f2cf-4de6-bed9-97bfb62c653d
Discrete Mathematics(31.89%) | Computational Geometry(27.44%) | Systems and Control(26.22%),muscl model,quadricep muscl,1,0.0,2016.0,,764e1b57-f2cf-4de6-bed9-97bfb62c653d
Cryptography and Security(41.55%) | Computation and Language(19.86%) | Graphics(17.36%),mould process,inject mould,1,0.0,2021.0,,ac11634e-8be6-4449-af95-a036a934cc6c
Cryptography and Security(41.55%) | Computation and Language(19.86%) | Graphics(17.36%),mould process,inject mould process,1,0.0,2021.0,,ac11634e-8be6-4449-af95-a036a934cc6c
Cryptography and Security(41.55%) | Computation and Language(19.86%) | Graphics(17.36%),inject mould process,mould process,1,0.0,2021.0,,ac11634e-8be6-4449-af95-a036a934cc6c
Cryptography and Security(41.55%) | Computation and Language(19.86%) | Graphics(17.36%),inject mould process,inject mould,1,0.0,2021.0,,ac11634e-8be6-4449-af95-a036a934cc6c
Cryptography and Security(41.55%) | Computation and Language(19.86%) | Graphics(17.36%),inject mould,mould process,1,0.0,2021.0,,ac11634e-8be6-4449-af95-a036a934cc6c
Cryptography and Security(41.55%) | Computation and Language(19.86%) | Graphics(17.36%),inject mould,inject mould process,1,0.0,2021.0,,ac11634e-8be6-4449-af95-a036a934cc6c
